App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Tags,Steam Page
730,Counter-Strike: Global Offensive,7382695,88%,2012-08-21,"$14,99","FPS, Shooter, Multiplayer, Competitive, Action, Team Based, eSports, Tactical, First Person, PvP, Online Co Op, Co op, Strategy, Military, War, Difficult, Trading, Realistic, Fast Paced, Moddable",https://store.steampowered.com/app/730
578080,PUBG: BATTLEGROUNDS,2201296,57%,2017-12-21,"$29,99","Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third Person Shooter, Action, Online Co Op, Tactical, Co op, First Person, Strategy, Early Access, Competitive, Third Person, Team Based, Difficult, Simulation, Stealth",https://store.steampowered.com/app/578080
570,Dota 2,2017009,82%,2013-07-09,"$29,99","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team Based, Competitive, Action, Online Co Op, PvP, Difficult, Co op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",https://store.steampowered.com/app/570
359550,Tom Clancy's Rainbow Six® Siege,978762,86%,2015-12-01,"$59,99","FPS, PvP, eSports, Shooter, Multiplayer, Tactical, Competitive, Online Co Op, Action, Hero Shooter, Team Based, Military, War, Realistic, Destruction, Strategy, Co op, First Person, Difficult, 3D",https://store.steampowered.com/app/359550
105600,Terraria,927752,97%,2011-05-16,"$9,99","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co op, Open World, Online Co Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric",https://store.steampowered.com/app/105600
4000,Garry's Mod,841853,96%,2006-11-29,"$9,99","Sandbox, Multiplayer, Funny, Moddable, Building, Mod, Comedy, Co op, First Person, Physics, Simulation, Online Co Op, FPS, Singleplayer, Action, Animation & Modeling, Shooter, Indie, Massively Multiplayer, Adventure",https://store.steampowered.com/app/4000
945360,Among Us,585788,92%,2018-11-16,"$4,99","Multiplayer, Online Co Op, Social Deduction, Space, Survival, 2D, Funny, Psychological, Co op, Party Game, Cartoony, Local Multiplayer, Casual, Action, Colorful, PvP, Sci fi, Aliens, Minigames, Top Down",https://store.steampowered.com/app/945360
1085660,Destiny 2,555551,82%,2019-10-01,"$34,99","Free to Play, Open World, FPS, MMORPG, Looter Shooter, Co op, PvP, PvE, Multiplayer, Shooter, Massively Multiplayer, First Person, Loot, Sci fi, Action, Lore Rich, Adventure, Space, Competitive, Atmospheric",https://store.steampowered.com/app/1085660
413150,Stardew Valley,495433,98%,2016-02-26,"$14,99","Farming Sim, Life Sim, Pixel Graphics, Multiplayer, RPG, Relaxing, Agriculture, Simulation, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Cute, Great Soundtrack, Dating Sim, Fishing",https://store.steampowered.com/app/413150
346110,ARK: Survival Evolved,490099,83%,2017-08-27,"$29,99","Open World Survival Craft, Survival, Multiplayer, Open World, Dinosaurs, Crafting, Building, Adventure, Base Building, Co op, Action, First Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci fi, Indie",https://store.steampowered.com/app/346110
227300,Euro Truck Simulator 2,483444,97%,2012-10-18,"$19,99","Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Exploration, Immersive Sim, Economy, Management, Atmospheric, Multiplayer, Controller, Family Friendly, Third Person, Adventure, Casual, Indie",https://store.steampowered.com/app/227300
739630,Phasmophobia,466827,96%,2020-09-18,"$13,99","Horror, Online Co Op, Multiplayer, Psychological Horror, Co op, VR, Supernatural, First Person, Investigation, Dark, Mystery, Demons, Detective, Early Access, 3D, Thriller, Indie, Action, Tactical, Lovecraftian",https://store.steampowered.com/app/739630
218620,PAYDAY 2,410570,89%,2013-08-13,"$9,99","Co op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co Op, Stealth, Crime, Shooter, Team Based, First Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation",https://store.steampowered.com/app/218620
1097150,Fall Guys: Ultimate Knockout,389591,"68,44%",2020-08-03,"$19,99","Multiplayer, Party Game, Family Friendly, Battle Royale, Massively Multiplayer, Platformer, Cute, Funny, PvP, 3D Platformer, Controller, Casual, Colorful, Action, Online Co Op, Co op, Comedy, Physics, Indie, Difficult",https://store.steampowered.com/app/1097150
892970,Valheim,353477,95%,2021-02-02,"$19,99","Open World Survival Craft, Survival, Online Co Op, Open World, Multiplayer, Building, Crafting, Exploration, Base Building, Co op, Sandbox, Adventure, Mythology, RPG, Early Access, Action, PvE, Indie, Singleplayer, Third Person",https://store.steampowered.com/app/892970
252950,Rocket League®,337174,"89,13%",2015-07-06,"$19,99","Football (Soccer), Multiplayer, Competitive, Sports, Racing, Football (American), Team Based, Online Co Op, Fast Paced, Co op, Action, Funny, Great Soundtrack, Local Multiplayer, Split Screen, Local Co Op, Singleplayer, 4 Player Local, Casual, Indie",https://store.steampowered.com/app/252950
221100,DayZ,293735,74%,2018-12-13,"$44,99","Survival, Zombies, Multiplayer, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Post apocalyptic, Simulation, FPS, Early Access, First Person, Survival Horror, Sandbox, Adventure, Co op, Atmospheric, Indie",https://store.steampowered.com/app/221100
