а̀-ля́	а̀-л'а́
а̀виаба́за	а̀в'иаба́за
а̀виадви́гатель	а̀в'иадв'и́гат'ил'
а̀виазаво́д	а̀в'иазаво́т
а̀виаконстру́ктор	а̀в'иаканстру́ктар
а̀виастрое́ние	а̀в'иастраjэ́н'ии
а̀виастрои́тельный	а̀в'иастраи́т'ил'ныj
а̀виатра́нспорт	а̀в'иатра́нспарт
а̀втобиогра́фия	а̀фтаб'иагра́ф'ии
а̀втобиографи́ческий	а̀фтаб'иаграф'и́ч'иск'иj
а̀втовокза́л	а̀фтавагза́л
а̀втозаво́д	а̀фтазаво́т
а̀втоколо́нна	а̀фтакало́нна
а̀втокра́н	а̀фтакра́н
а̀втомагистра́ль	а̀фтамаг'истра́л'
а̀втопило́т	а̀фтап'ило́т
а̀втопо́езд	а̀фтапо́ист
а̀втопробе́г	а̀фтапраб'э́к
а̀втоспо́рт	а̀фтаспо́рт
а̀втотра́нспорт	а̀фтатра́нспарт
а̀втошко́ла	а̀фташко́ла
а̀льма-ма́тер	а̀л'ма-ма́тыр
а̀нтивещество́	а̀н'т'ив'иш':иство́
а̀нтипрото́н	а̀н'т'ипрато́н
а̀нтисемити́зм	а̀н'т'ис'им'ит'и́зм
а̀нтите́ло	а̀н'т'ит'э́ла
а̀нтичасти́ца	а̀н'т'ич'ис'т'и́ца
а̀ртобстре́л	а̀ртапстр'э́л
а̀строфи́зик	а̀страф'и́з'ик
а̀удиовизуа́льный	а̀уд'иав'изуа́л'ныj
а̀эровокза́л	а̀ыравагза́л
а̀эродина́мика	а̀ырад'ина́м'ика
а̀эродинами́ческий	а̀ырад'инам'и́ч'иск'иj
а́	а́
а́вгуст	а́вгуст
а́вгустовский	а́вгустафск'иj
а́втор	а́фтар
а́вторский	а́фтарск'иj
а́вторство	а́фтарства
а́д	а́т
а́дрес	а́др'ис
а́дресный	а́др'исныj
а́дски	а́цк'и
а́дский	а́цк'иj
а́ж	а́ш
а́з	а́с
а́збука Мо́рзе	а́збука мо́рзы
а́зимут	а́з'имут
а́ир	а́ир
а́ист	а́ист
а́й	а́j
а́йсберг	а́jзб'ирк
а́кр	а́кр
а́ксон	а́ксан
а́кт	а́кт
а́ктовый	а́ктавыj
а́кция	а́кцыи
а́ла	а́ла
а́лгебра	а́лг'ибра
а́ленький	а́л'ин'к'иj
а́ли	а́л'и
а́либи	а́л'иб'и
а́ло	а́ла
а́лчность	а́лч'нас'т'
а́лчный	а́лч'ныj
а́лый	а́лыj
а́ль	а́л'
а́льт	а́л'т
а́льф	а́л'ф
а́льфа	а́л'фа
а́мбре	а́мбр'и
а́мфора	а́мфара
а́н	а́н
а́нгел	а́нг'ил
а́нгела	а́нг'ила
а́нгельский	а́нг'ил'ск'иj
а́нгстрем	а́нкстр'им
а́нкер	а́нк'ир
а́р	а́р
а́ра	а́ра
а́рам	а́рам
а́ргус	а́ргус
а́ре	а́р'и
а́рия	а́р'ии
а́рка	а́рка
а́рмия	а́рм'ии
а́рочный	а́рач'ныj
а́рфа	а́рфа
а́с	а́с
а́сс	а́с
а́стма	а́стма
а́су	а́су
а́тлас	а́тлас
а́тласов	а́тласаф
а́том	а́там
а́томный	а́тамныj
а́триум	а́тр'иум
а́ура	а́ура
а́ут	а́ут
а́х	а́х
абажу́р	абажу́р
абба́т	аба́т
абба́тство	аба́цтва
аббревиату́ра	аббр'ив'иату́ра
аберра́ция	аб'ира́цыи
абза́ц	абза́ц
абитурие́нт	аб'итур'иjэ́нт
або́рт	або́рт
абоне́нт	абан'э́нт
абоне́нтский	абан'э́нск'иj
абонеме́нт	абан'им'э́нт
аборда́ж	абарда́ш
абориге́н	абар'иг'э́н
абракада́бра	абракада́бра
абсолю́т	апсал'у́т
абсолю́тно	апсал'у́тна
абсолю́тный	апсал'у́тныj
абсорби́ровать	апсарб'и́рават'
абстра́ктно	апстра́ктна
абстра́ктный	апстра́ктныj
абстра́кция	апстра́кцыи
абстраги́роваться	апстраг'и́раваца
абсу́рд	апсу́рт
абсу́рдно	апсу́рдна
абсу́рдность	апсу́рднас'т'
абсу́рдный	апсу́рдныj
абу́	абу́
ава́нс	ава́нс
ава́нсовый	ава́нсавыj
ава́нсом	ава́нсам
ава́рия	ава́р'ии
аванга́рд	аванга́рт
аванга́рдный	аванга́рдныj
авангарди́ст	авангард'и́ст
авантю́ра	аван'т'у́ра
авантю́рный	аван'т'у́рныj
авантюри́зм	аван'т'ур'и́зм
авантюри́ст	аван'т'ур'и́ст
авари́йность	авар'и́jнас'т'
авари́йный	авар'и́jныj
авгу́р	авгу́р
авеню́	ав'ин'у́
авиа́тор	ав'иа́тар
авиа́ция	ав'иа́цыи
авиано́сец	ав'иано́с'иц
авиацио́нный	ав'иацыо́нныj
аво́сь	аво́с'
авока́до	авака́да
авра́л	авра́л
авро́ра	авро́ра
австра̀лопите́к	афстра̀лап'итэ́к
австрали́ец	афстрал'и́иц
австрали́йка	афстрал'и́jка
австрали́йский	афстрал'и́jск'иj
австри́ец	афстр'и́иц
австри́йский	афстр'и́jск'иj
автарки́я	афтарк'и́и
авто́	афто́
авто́бус	афто́бус
авто́бусный	афто́бусныj
авто́граф	афто́граф
автого́нки	афтаго́нк'и
автодро́м	афтадро́м
автожи́р	афтажы́р
автолюби́тель	афтал'уб'и́т'ил'
автома́т	афтама́т
автома́тика	афтама́т'ика
автомати́ческий	афтамат'и́ч'иск'иj
автоматиза́ция	афтамат'иза́цыи
автоматизи́рованный	афтамат'из'и́раваныj
автоматизи́ровать	афтамат'из'и́рават'
автомаши́на	афтамашы́на
автомобѝлестрое́ние	афтамаб'ѝл'истраjэ́н'ии
автомоби́ль	афтамаб'и́л'
автомоби́льный	афтамаб'и́л'ныj
автомобили́ст	афтамаб'ил'и́ст
автоно́мия	афтано́м'ии
автоно́мно	афтано́мна
автоно́мность	афтано́мнас'т'
автоно́мный	афтано́мныj
автопа́рк	афтапа́рк
автопортре́т	афтапартр'э́т
авториза́ция	афтар'иза́цыи
авторизова́ть	афтар'изава́т'
авторита́рный	афтар'ита́рныj
авторите́т	афтар'ит'э́т
авторите́тно	афтар'ит'э́тна
авторите́тность	афтар'ит'э́тнас'т'
авторите́тный	афтар'ит'э́тныj
автору́чка	афтару́ч'ка
автосто́п	афтасто́п
ага́	аɣа́
ага́т	ага́т
ага́та	ага́та
аге́нт	аг'э́нт
аге́нтский	аг'э́нск'иj
аге́нтство	аг'э́нства
агита́ция	аг'ита́цыи
агитацио́нный	аг'итацыо́нныj
агити́ровать	аг'ит'и́рават'
агломера́ция	аглам'ира́цыи
аго́ния	аго́н'ии
агра́рный	агра́рныj
агре́ссия	агр'э́с'ии
агре́ссор	агр'э́ссар
агрега́т	агр'ига́т
агресси́вно	агр'ис'и́вна
агресси́вность	агр'ис'и́внас'т'
агресси́вный	агр'ис'и́вныj
агроно́м	аграно́м
ада́птер	ада́птыр
адали́н	адал'и́н
адама́нт	адама́нт
адапта́ция	адапта́цыи
адапти́вный	адапт'и́вныj
адапти́ровать	адапт'и́рават'
адвока́т	адвака́т
аде́пт	адэ́пт
адеква́тно	адыква́тна
адеква́тность	адыква́тнас'т'
адеква́тный	адыква́тныj
администра́тор	адм'ин'истра́тар
администра́ция	адм'ин'истра́цыи
администрати́вно	адм'ин'истрат'и́вна
администрати́вный	адм'ин'истрат'и́вныj
администри́рование	адм'ин'истр'и́раван'ии
администри́ровать	адм'ин'истр'и́рават'
адмира́л	адм'ира́л
адмиралте́йский	адм'иралт'э́jск'иj
адмиралте́йство	адм'иралт'э́jства
адо́нис	адо́н'ис
адренали́н	адр'инал'и́н
адреса́т	адр'иса́т
адресова́ть	адр'исава́т'
адсорбе́нт	атсарб'э́нт
адыге́йский	адыг'э́jск'иj
адюльте́р	ад'ул'тэ́р
ажиота́ж	ажыата́ш
аза́м	аза́м
аза́рт	аза́рт
аза́ртно	аза́ртна
аза́ртный	аза́ртныj
азербайджа́нский	аз'ирбаjджа́нск'иj
азиа́т	аз'иа́т
азиа́тский	аз'иа́цк'иj
азо́в	азо́ф
азо́т	азо́т
азо́тный	азо́тныj
аи́	аи́
айва́	аjва́
айда́	аjда́
айма́к	аjма́к
ака́ция	ака́цыи
акаде́мик	акад'э́м'ик
акаде́мия	акад'э́м'ии
академи́ческий	акад'им'и́ч'иск'иj
аква́риум	аква́р'иум
аквала́нг	аквала́нк
аквамари́н	аквамар'и́н
акваре́ль	аквар'э́л'
аквато́рия	аквато́р'ии
акклиматиза́ция	аккл'имат'иза́цыи
акко́рд	ако́рт
аккомпанеме́нт	акампан'им'э́нт
аккордео́н	акард'ио́н
аккредитова́ть	аккр'ид'итава́т'
аккумули́ровать	акумул'и́рават'
аккумули́роваться	акумул'и́раваца
аккумуля́тор	акумул'а́тар
аккумуля́торный	акумул'а́тарныj
аккумуля́ция	акумул'а́цыи
аккура́тно	акура́тна
аккура́тность	акура́тнас'т'
аккура́тный	акура́тныj
акро́поль	акро́пал'
акроба́тика	акраба́т'ика
акробати́ческий	акрабат'и́ч'иск'иj
акселера́тор	акс'ил'ира́тар
акселеро́метр	акс'ил'иро́м'итр
аксессуа́р	аксысуа́р
аксио́ма	акс'ио́ма
акти́в	акт'и́ф
акти́вно	акт'и́вна
акти́вность	акт'и́внас'т'
акти́вный	акт'и́вныj
актива́тор	акт'ива́тар
актива́ция	акт'ива́цыи
активи́рованный	акт'ив'и́раваныj
активи́ровать	акт'ив'и́рават'
активи́ст	акт'ив'и́ст
активи́стка	акт'ив'и́стка
активиза́ция	акт'ив'иза́цыи
активизи́ровать	акт'ив'из'и́рават'
активизи́роваться	акт'ив'из'и́раваца
актри́са	актр'и́са
